Epoch 1, Train Loss: 1.20209, Train Accuracy: 59.975%, Test Loss: 0.842936, Test Accuracy: 74.23%
Epoch 2, Train Loss: 0.796586, Train Accuracy: 75.9383%, Test Loss: 0.748549, Test Accuracy: 77.33%
Epoch 3, Train Loss: 0.734316, Train Accuracy: 78.43%, Test Loss: 0.693239, Test Accuracy: 79.97%
Epoch 4, Train Loss: 0.707817, Train Accuracy: 79.5633%, Test Loss: 0.682798, Test Accuracy: 79.46%
Epoch 5, Train Loss: 0.691406, Train Accuracy: 80.1083%, Test Loss: 0.662264, Test Accuracy: 80.25%
Epoch 6, Train Loss: 0.678198, Train Accuracy: 80.6433%, Test Loss: 0.666147, Test Accuracy: 80.89%
Epoch 7, Train Loss: 0.673353, Train Accuracy: 80.925%, Test Loss: 0.657542, Test Accuracy: 80.64%
Epoch 8, Train Loss: 0.664686, Train Accuracy: 80.9667%, Test Loss: 0.640661, Test Accuracy: 81.19%
Epoch 9, Train Loss: 0.65375, Train Accuracy: 81.4067%, Test Loss: 0.62986, Test Accuracy: 81.7%
Epoch 10, Train Loss: 0.64844, Train Accuracy: 81.5683%, Test Loss: 0.636971, Test Accuracy: 81.07%
Epoch 11, Train Loss: 0.651843, Train Accuracy: 81.4367%, Test Loss: 0.619354, Test Accuracy: 81.84%
Epoch 12, Train Loss: 0.650818, Train Accuracy: 81.3967%, Test Loss: 0.635181, Test Accuracy: 81.7%
Epoch 13, Train Loss: 0.644634, Train Accuracy: 81.865%, Test Loss: 0.625509, Test Accuracy: 81.81%
Epoch 14, Train Loss: 0.63952, Train Accuracy: 81.7317%, Test Loss: 0.622797, Test Accuracy: 82.16%
Epoch 15, Train Loss: 0.633686, Train Accuracy: 82.1883%, Test Loss: 0.609993, Test Accuracy: 82.51%
Epoch 16, Train Loss: 0.634338, Train Accuracy: 82.1117%, Test Loss: 0.622969, Test Accuracy: 82.2%
Epoch 17, Train Loss: 0.636638, Train Accuracy: 82.005%, Test Loss: 0.626001, Test Accuracy: 81.91%
Epoch 18, Train Loss: 0.631718, Train Accuracy: 82.2033%, Test Loss: 0.615714, Test Accuracy: 82.06%
Epoch 19, Train Loss: 0.627818, Train Accuracy: 82.3383%, Test Loss: 0.616072, Test Accuracy: 82.28%
Epoch 20, Train Loss: 0.626596, Train Accuracy: 82.2617%, Test Loss: 0.631199, Test Accuracy: 81.45%
Epoch 21, Train Loss: 0.622814, Train Accuracy: 82.27%, Test Loss: 0.612318, Test Accuracy: 82.21%
Epoch 22, Train Loss: 0.62393, Train Accuracy: 82.24%, Test Loss: 0.598833, Test Accuracy: 82.83%
Epoch 23, Train Loss: 0.625417, Train Accuracy: 82.3883%, Test Loss: 0.598638, Test Accuracy: 82.83%
Epoch 24, Train Loss: 0.620849, Train Accuracy: 82.5267%, Test Loss: 0.599164, Test Accuracy: 83.27%
Epoch 25, Train Loss: 0.615908, Train Accuracy: 82.6867%, Test Loss: 0.606577, Test Accuracy: 82.76%
Epoch 26, Train Loss: 0.614633, Train Accuracy: 82.735%, Test Loss: 0.617218, Test Accuracy: 81.96%
Epoch 27, Train Loss: 0.61976, Train Accuracy: 82.5583%, Test Loss: 0.611065, Test Accuracy: 82.6%
Epoch 28, Train Loss: 0.616913, Train Accuracy: 82.9033%, Test Loss: 0.602224, Test Accuracy: 82.74%
Epoch 29, Train Loss: 0.620455, Train Accuracy: 82.5317%, Test Loss: 0.613849, Test Accuracy: 81.84%
Epoch 30, Train Loss: 0.618551, Train Accuracy: 82.66%, Test Loss: 0.595362, Test Accuracy: 83.14%
Epoch 31, Train Loss: 0.617631, Train Accuracy: 82.6%, Test Loss: 0.609971, Test Accuracy: 82.32%
Epoch 32, Train Loss: 0.61302, Train Accuracy: 82.7817%, Test Loss: 0.599876, Test Accuracy: 82.65%
Epoch 33, Train Loss: 0.611964, Train Accuracy: 82.92%, Test Loss: 0.590564, Test Accuracy: 82.56%
Epoch 34, Train Loss: 0.614515, Train Accuracy: 82.8933%, Test Loss: 0.617336, Test Accuracy: 82.04%
