Epoch 54, Train Loss: 0.126008, Train Accuracy: 96.2467%, Test Loss: 0.146553, Test Accuracy: 95.76%
Epoch 55, Train Loss: 0.124448, Train Accuracy: 96.2633%, Test Loss: 0.158489, Test Accuracy: 95.25%
Epoch 56, Train Loss: 0.123302, Train Accuracy: 96.2883%, Test Loss: 0.155181, Test Accuracy: 95.46%
Epoch 57, Train Loss: 0.126946, Train Accuracy: 96.1267%, Test Loss: 0.151798, Test Accuracy: 95.66%
Epoch 58, Train Loss: 0.122535, Train Accuracy: 96.285%, Test Loss: 0.150368, Test Accuracy: 95.62%
Epoch 59, Train Loss: 0.123763, Train Accuracy: 96.2733%, Test Loss: 0.146436, Test Accuracy: 95.85%
Epoch 60, Train Loss: 0.127092, Train Accuracy: 96.2233%, Test Loss: 0.149358, Test Accuracy: 95.55%
Epoch 61, Train Loss: 0.122927, Train Accuracy: 96.29%, Test Loss: 0.15354, Test Accuracy: 95.69%
Epoch 62, Train Loss: 0.12207, Train Accuracy: 96.3033%, Test Loss: 0.154344, Test Accuracy: 95.42%
Epoch 63, Train Loss: 0.122132, Train Accuracy: 96.3017%, Test Loss: 0.154609, Test Accuracy: 95.4%
Epoch 64, Train Loss: 0.124167, Train Accuracy: 96.2783%, Test Loss: 0.148988, Test Accuracy: 95.59%
Epoch 65, Train Loss: 0.12188, Train Accuracy: 96.4233%, Test Loss: 0.14526, Test Accuracy: 95.93%
Epoch 66, Train Loss: 0.120918, Train Accuracy: 96.3717%, Test Loss: 0.14662, Test Accuracy: 95.53%
Epoch 67, Train Loss: 0.121939, Train Accuracy: 96.33%, Test Loss: 0.149747, Test Accuracy: 95.39%
Epoch 68, Train Loss: 0.12109, Train Accuracy: 96.385%, Test Loss: 0.156944, Test Accuracy: 95.43%
Epoch 69, Train Loss: 0.124101, Train Accuracy: 96.2617%, Test Loss: 0.151531, Test Accuracy: 95.53%
Epoch 70, Train Loss: 0.120587, Train Accuracy: 96.3817%, Test Loss: 0.151002, Test Accuracy: 95.53%
Epoch 71, Train Loss: 0.122485, Train Accuracy: 96.3383%, Test Loss: 0.152774, Test Accuracy: 95.5%
Epoch 72, Train Loss: 0.122548, Train Accuracy: 96.3233%, Test Loss: 0.148348, Test Accuracy: 95.69%
Epoch 73, Train Loss: 0.120893, Train Accuracy: 96.3367%, Test Loss: 0.150532, Test Accuracy: 95.84%
Epoch 74, Train Loss: 0.119624, Train Accuracy: 96.4033%, Test Loss: 0.143941, Test Accuracy: 96.04%
Epoch 75, Train Loss: 0.120471, Train Accuracy: 96.48%, Test Loss: 0.150515, Test Accuracy: 95.43%
Epoch 76, Train Loss: 0.120918, Train Accuracy: 96.3867%, Test Loss: 0.156211, Test Accuracy: 95.5%
Epoch 77, Train Loss: 0.122232, Train Accuracy: 96.37%, Test Loss: 0.155383, Test Accuracy: 95.62%
Epoch 78, Train Loss: 0.121665, Train Accuracy: 96.3767%, Test Loss: 0.156447, Test Accuracy: 95.5%
Epoch 79, Train Loss: 0.122243, Train Accuracy: 96.33%, Test Loss: 0.154731, Test Accuracy: 95.42%
Epoch 80, Train Loss: 0.121409, Train Accuracy: 96.3633%, Test Loss: 0.140423, Test Accuracy: 95.87%
Epoch 81, Train Loss: 0.118429, Train Accuracy: 96.5167%, Test Loss: 0.151805, Test Accuracy: 95.61%
Epoch 82, Train Loss: 0.117949, Train Accuracy: 96.4067%, Test Loss: 0.143931, Test Accuracy: 95.97%
Epoch 83, Train Loss: 0.118441, Train Accuracy: 96.4083%, Test Loss: 0.148987, Test Accuracy: 95.55%
Epoch 84, Train Loss: 0.12133, Train Accuracy: 96.3217%, Test Loss: 0.147954, Test Accuracy: 95.56%
Epoch 85, Train Loss: 0.118324, Train Accuracy: 96.445%, Test Loss: 0.144061, Test Accuracy: 95.67%
Epoch 86, Train Loss: 0.119757, Train Accuracy: 96.355%, Test Loss: 0.144626, Test Accuracy: 95.77%
Epoch 87, Train Loss: 0.11671, Train Accuracy: 96.51%, Test Loss: 0.151917, Test Accuracy: 95.59%
Epoch 88, Train Loss: 0.120729, Train Accuracy: 96.2983%, Test Loss: 0.152933, Test Accuracy: 95.54%
Epoch 89, Train Loss: 0.119943, Train Accuracy: 96.4367%, Test Loss: 0.151528, Test Accuracy: 95.42%
Epoch 90, Train Loss: 0.118897, Train Accuracy: 96.495%, Test Loss: 0.142926, Test Accuracy: 95.86%
Epoch 91, Train Loss: 0.118018, Train Accuracy: 96.4267%, Test Loss: 0.148452, Test Accuracy: 95.67%
Epoch 92, Train Loss: 0.120015, Train Accuracy: 96.41%, Test Loss: 0.138835, Test Accuracy: 95.94%
Epoch 93, Train Loss: 0.119608, Train Accuracy: 96.4217%, Test Loss: 0.147242, Test Accuracy: 95.64%
Epoch 94, Train Loss: 0.120775, Train Accuracy: 96.35%, Test Loss: 0.148936, Test Accuracy: 95.53%
Epoch 95, Train Loss: 0.11636, Train Accuracy: 96.5%, Test Loss: 0.144948, Test Accuracy: 95.68%
Epoch 96, Train Loss: 0.120971, Train Accuracy: 96.2983%, Test Loss: 0.147883, Test Accuracy: 95.74%
Epoch 97, Train Loss: 0.117952, Train Accuracy: 96.4533%, Test Loss: 0.142227, Test Accuracy: 95.77%
Epoch 98, Train Loss: 0.116962, Train Accuracy: 96.505%, Test Loss: 0.138721, Test Accuracy: 95.85%
Epoch 99, Train Loss: 0.118659, Train Accuracy: 96.4283%, Test Loss: 0.14214, Test Accuracy: 95.67%
Epoch 100, Train Loss: 0.116786, Train Accuracy: 96.5317%, Test Loss: 0.150008, Test Accuracy: 95.57%
