Epoch 53, Train Loss: 0.0343586, Train Accuracy: 99.17%, Test Loss: 0.0903411, Test Accuracy: 97.18%
Epoch 54, Train Loss: 0.0339772, Train Accuracy: 99.1983%, Test Loss: 0.0887056, Test Accuracy: 97.17%
Epoch 55, Train Loss: 0.0341702, Train Accuracy: 99.1617%, Test Loss: 0.0919981, Test Accuracy: 97.13%
Epoch 56, Train Loss: 0.034253, Train Accuracy: 99.15%, Test Loss: 0.109348, Test Accuracy: 96.6%
Epoch 57, Train Loss: 0.0337601, Train Accuracy: 99.1783%, Test Loss: 0.094921, Test Accuracy: 97.03%
Epoch 58, Train Loss: 0.0335139, Train Accuracy: 99.1867%, Test Loss: 0.0965848, Test Accuracy: 96.92%
Epoch 59, Train Loss: 0.0331504, Train Accuracy: 99.2083%, Test Loss: 0.0897874, Test Accuracy: 97.15%
Epoch 60, Train Loss: 0.0328101, Train Accuracy: 99.2017%, Test Loss: 0.0846023, Test Accuracy: 97.2%
Epoch 61, Train Loss: 0.033048, Train Accuracy: 99.1867%, Test Loss: 0.110934, Test Accuracy: 96.54%
Epoch 62, Train Loss: 0.0336578, Train Accuracy: 99.1933%, Test Loss: 0.0841086, Test Accuracy: 97.26%
Epoch 63, Train Loss: 0.032334, Train Accuracy: 99.22%, Test Loss: 0.0879299, Test Accuracy: 97.31%
Epoch 64, Train Loss: 0.0322344, Train Accuracy: 99.2217%, Test Loss: 0.0918024, Test Accuracy: 97.14%
Epoch 65, Train Loss: 0.0327119, Train Accuracy: 99.1917%, Test Loss: 0.093708, Test Accuracy: 97.12%
Epoch 66, Train Loss: 0.0324423, Train Accuracy: 99.2117%, Test Loss: 0.0904186, Test Accuracy: 97.06%
Epoch 67, Train Loss: 0.031831, Train Accuracy: 99.2467%, Test Loss: 0.0842739, Test Accuracy: 97.32%
Epoch 68, Train Loss: 0.0316955, Train Accuracy: 99.23%, Test Loss: 0.0898608, Test Accuracy: 97.13%
Epoch 69, Train Loss: 0.0315465, Train Accuracy: 99.2333%, Test Loss: 0.0902732, Test Accuracy: 97.06%
Epoch 70, Train Loss: 0.0319291, Train Accuracy: 99.2467%, Test Loss: 0.0906982, Test Accuracy: 97.08%
Epoch 71, Train Loss: 0.0315016, Train Accuracy: 99.2367%, Test Loss: 0.0872873, Test Accuracy: 97.26%
Epoch 72, Train Loss: 0.0313727, Train Accuracy: 99.2633%, Test Loss: 0.0838937, Test Accuracy: 97.26%
Epoch 73, Train Loss: 0.0316602, Train Accuracy: 99.24%, Test Loss: 0.0855967, Test Accuracy: 97.31%
Epoch 74, Train Loss: 0.0310791, Train Accuracy: 99.27%, Test Loss: 0.0859498, Test Accuracy: 97.25%
Epoch 75, Train Loss: 0.0313595, Train Accuracy: 99.255%, Test Loss: 0.0849614, Test Accuracy: 97.26%
Epoch 76, Train Loss: 0.0307605, Train Accuracy: 99.2733%, Test Loss: 0.0883231, Test Accuracy: 97.13%
Epoch 77, Train Loss: 0.0315672, Train Accuracy: 99.2217%, Test Loss: 0.0796738, Test Accuracy: 97.43%
Epoch 78, Train Loss: 0.0309664, Train Accuracy: 99.2533%, Test Loss: 0.0946843, Test Accuracy: 97.02%
Epoch 79, Train Loss: 0.0307157, Train Accuracy: 99.255%, Test Loss: 0.0830132, Test Accuracy: 97.37%
Epoch 80, Train Loss: 0.0305348, Train Accuracy: 99.29%, Test Loss: 0.0826419, Test Accuracy: 97.45%
Epoch 81, Train Loss: 0.0313339, Train Accuracy: 99.2283%, Test Loss: 0.0837151, Test Accuracy: 97.34%
Epoch 82, Train Loss: 0.0303366, Train Accuracy: 99.255%, Test Loss: 0.0882401, Test Accuracy: 97.18%
Epoch 83, Train Loss: 0.0306345, Train Accuracy: 99.2567%, Test Loss: 0.0869282, Test Accuracy: 97.27%
Epoch 84, Train Loss: 0.0304495, Train Accuracy: 99.265%, Test Loss: 0.0858083, Test Accuracy: 97.35%
Epoch 85, Train Loss: 0.0305516, Train Accuracy: 99.2783%, Test Loss: 0.0860169, Test Accuracy: 97.3%
Epoch 86, Train Loss: 0.0302632, Train Accuracy: 99.2467%, Test Loss: 0.0881963, Test Accuracy: 97.27%
Epoch 87, Train Loss: 0.030252, Train Accuracy: 99.2867%, Test Loss: 0.0876257, Test Accuracy: 97.26%
Epoch 88, Train Loss: 0.0300561, Train Accuracy: 99.2867%, Test Loss: 0.0906627, Test Accuracy: 97.17%
