Epoch 54, Train Loss: 0.0656392, Train Accuracy: 97.9717%, Test Loss: 0.165337, Test Accuracy: 96.15%
Epoch 55, Train Loss: 0.0644393, Train Accuracy: 97.9517%, Test Loss: 0.169483, Test Accuracy: 96.2%
Epoch 56, Train Loss: 0.0655048, Train Accuracy: 97.9067%, Test Loss: 0.167503, Test Accuracy: 96.26%
Epoch 57, Train Loss: 0.0658857, Train Accuracy: 97.9033%, Test Loss: 0.1593, Test Accuracy: 96.16%
Epoch 58, Train Loss: 0.0645291, Train Accuracy: 97.895%, Test Loss: 0.176193, Test Accuracy: 96.06%
Epoch 59, Train Loss: 0.0629797, Train Accuracy: 97.9817%, Test Loss: 0.159184, Test Accuracy: 96.27%
Epoch 60, Train Loss: 0.0643345, Train Accuracy: 97.9533%, Test Loss: 0.172943, Test Accuracy: 96.06%
Epoch 61, Train Loss: 0.0613525, Train Accuracy: 98.0183%, Test Loss: 0.163825, Test Accuracy: 96.15%
Epoch 62, Train Loss: 0.0598079, Train Accuracy: 98.0967%, Test Loss: 0.181334, Test Accuracy: 96%
Epoch 63, Train Loss: 0.0603371, Train Accuracy: 98.1217%, Test Loss: 0.177876, Test Accuracy: 96.05%
Epoch 64, Train Loss: 0.0611509, Train Accuracy: 98.04%, Test Loss: 0.167393, Test Accuracy: 96.2%
Epoch 65, Train Loss: 0.0584842, Train Accuracy: 98.1017%, Test Loss: 0.170056, Test Accuracy: 96.1%
Epoch 66, Train Loss: 0.0612952, Train Accuracy: 98.075%, Test Loss: 0.169436, Test Accuracy: 95.93%
Epoch 67, Train Loss: 0.0620327, Train Accuracy: 98.0117%, Test Loss: 0.178843, Test Accuracy: 96.21%
Epoch 68, Train Loss: 0.0591127, Train Accuracy: 98.1233%, Test Loss: 0.176108, Test Accuracy: 95.77%
Epoch 69, Train Loss: 0.0604202, Train Accuracy: 98.085%, Test Loss: 0.168591, Test Accuracy: 96.22%
Epoch 70, Train Loss: 0.0594799, Train Accuracy: 98.155%, Test Loss: 0.176617, Test Accuracy: 96.06%
